CVE,package,severity,summary,description,publishedAt,vulnerableVersionRange,firstPatchedVersion
CVE-2015-8856,serve-index,MODERATE,Cross-Site Scripting in serve-index,"Versions 1.6.2 and earlier of `serve-index` are affected by a cross-site scripting vulnerability. Because file and directory names are not escaped in the module's HTML output, a remote attacker that can influence file or directory names can launch a persistent cross-site scripting attack on the application.


## Recommendation

Update to version 1.6.3 or later.",2017-10-24T18:33:36Z,< 1.6.3,1.6.3
CVE-2015-8855,semver,MODERATE,Regular Expression Denial of Service in semver,"Versions 4.3.1 and earlier of `semver` are affected by a regular expression denial of service vulnerability when extremely long version strings are parsed.



## Recommendation

Update to version 4.3.2 or later",2017-10-24T18:33:36Z,< 4.3.2,4.3.2
CVE-2015-8854,marked,HIGH,Regular Expression Denial of Service in marked,"Versions 0.3.3 and earlier of `marked` are affected by a regular expression denial of service ( ReDoS ) vulnerability when passed inputs that reach the `em` inline rule.



## Recommendation

Update to version 0.3.4 or later.",2017-10-24T18:33:36Z,< 0.3.4,0.3.4
CVE-2015-8315,ms,MODERATE,Regular Expression Denial of Service in millisecond,"Versions of `millisecond` prior to 0.1.2 are affected by a regular expression denial of service vulnerability when extremely long version strings are parsed.


## Proof of concept
```
var ms = require('millisecond');
var genstr = function (len, chr) {
   var result = """";
   for (i=0; i<=len; i++) {
       result = result + chr;
   }

   return result;
}

ms(genstr(process.argv[2], ""5"") + "" minutea"");
```


## Recommendation

Update to version 0.1.2 or later.",2017-10-24T18:33:36Z,< 0.7.1,0.7.1
CVE-2015-7565,ember,MODERATE,Moderate severity vulnerability that affects ember,"Withdrawn, accidental duplicate publish.

Cross-site scripting (XSS) vulnerability in Ember.js 1.8.x through 1.10.x, 1.11.x before 1.11.4, 1.12.x before 1.12.2, 1.13.x before 1.13.12, 2.0.x before 2.0.3, 2.1.x before 2.1.2, and 2.2.x before 2.2.1 allows remote attackers to inject arbitrary web script or HTML.",2017-10-24T18:33:36Z,">= 1.8.0, < 1.11.4",1.11.4
CVE-2015-7565,ember,MODERATE,Moderate severity vulnerability that affects ember,"Withdrawn, accidental duplicate publish.

Cross-site scripting (XSS) vulnerability in Ember.js 1.8.x through 1.10.x, 1.11.x before 1.11.4, 1.12.x before 1.12.2, 1.13.x before 1.13.12, 2.0.x before 2.0.3, 2.1.x before 2.1.2, and 2.2.x before 2.2.1 allows remote attackers to inject arbitrary web script or HTML.",2017-10-24T18:33:36Z,">= 1.12.0, < 1.12.2",1.12.2
CVE-2015-7565,ember,MODERATE,Moderate severity vulnerability that affects ember,"Withdrawn, accidental duplicate publish.

Cross-site scripting (XSS) vulnerability in Ember.js 1.8.x through 1.10.x, 1.11.x before 1.11.4, 1.12.x before 1.12.2, 1.13.x before 1.13.12, 2.0.x before 2.0.3, 2.1.x before 2.1.2, and 2.2.x before 2.2.1 allows remote attackers to inject arbitrary web script or HTML.",2017-10-24T18:33:36Z,">= 1.13.0, < 1.13.12",1.13.12
CVE-2015-7565,ember,MODERATE,Moderate severity vulnerability that affects ember,"Withdrawn, accidental duplicate publish.

Cross-site scripting (XSS) vulnerability in Ember.js 1.8.x through 1.10.x, 1.11.x before 1.11.4, 1.12.x before 1.12.2, 1.13.x before 1.13.12, 2.0.x before 2.0.3, 2.1.x before 2.1.2, and 2.2.x before 2.2.1 allows remote attackers to inject arbitrary web script or HTML.",2017-10-24T18:33:36Z,">= 2.0.0, < 2.0.3",2.0.3
CVE-2015-7565,ember,MODERATE,Moderate severity vulnerability that affects ember,"Withdrawn, accidental duplicate publish.

Cross-site scripting (XSS) vulnerability in Ember.js 1.8.x through 1.10.x, 1.11.x before 1.11.4, 1.12.x before 1.12.2, 1.13.x before 1.13.12, 2.0.x before 2.0.3, 2.1.x before 2.1.2, and 2.2.x before 2.2.1 allows remote attackers to inject arbitrary web script or HTML.",2017-10-24T18:33:36Z,">= 2.1.0, < 2.1.2",2.1.2
CVE-2015-7565,ember,MODERATE,Moderate severity vulnerability that affects ember,"Withdrawn, accidental duplicate publish.

Cross-site scripting (XSS) vulnerability in Ember.js 1.8.x through 1.10.x, 1.11.x before 1.11.4, 1.12.x before 1.12.2, 1.13.x before 1.13.12, 2.0.x before 2.0.3, 2.1.x before 2.1.2, and 2.2.x before 2.2.1 allows remote attackers to inject arbitrary web script or HTML.",2017-10-24T18:33:36Z,">= 2.2.0, < 2.2.1",2.2.1
CVE-2015-5688,geddy,HIGH,Directory Traversal in geddy,"Versions 13.0.8 and earlier of geddy are vulnerable to a directory traversal attack via URI encoded attack vectors.

### Proof of Concept
```
http://localhost:4000/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd
```


## Recommendation

Update geddy to version >= 13.0.8",2017-10-24T18:33:36Z,< 13.0.8,13.0.8
CVE-2015-1370,marked,MODERATE,VBScript Content Injection in marked,"Versions 0.3.2 and earlier of `marked` are affected by a cross-site scripting vulnerability even when `sanitize:true` is set. 

## Proof of Concept ( IE10 Compatibility Mode Only )

`[xss link](vbscript:alert(1&#41;)`

will get a link

`<a href=""vbscript:alert(1)"">xss link</a>`


## Recommendation

Update to version 0.3.3 or later.",2017-10-24T18:33:36Z,< 0.3.3,0.3.3
CVE-2015-1369,sequelize,CRITICAL,SQL Injection in sequelize,"Versions 2.0.0-rc-7 and earlier of `sequelize` are affected by a SQL injection vulnerability when user input is passed into the order parameter.



## Proof of Concept

```javascript
Test.findAndCountAll({
where: { id :1 },
order : [['id', 'UNTRUSTED USER INPUT']]
})
```


## Recommendation

Update to version 2.0.0-rc8 or later",2017-10-24T18:33:36Z,< 2.0.0-rc8,2.0.0-rc8
CVE-2014-9772,validator,MODERATE,Moderate severity vulnerability that affects validator,**Withdrawn:** Duplicate of GHSA-79mx-88w7-8f7q,2017-10-24T18:33:36Z,< 2.0.0,2.0.0
CVE-2014-9682,dns-sync,CRITICAL,Critical severity vulnerability that affects dns-sync,The dns-sync module before 0.1.1 for node.js allows context-dependent attackers to execute arbitrary commands via shell metacharacters in the first argument to the resolve API function.,2017-10-24T18:33:36Z,< 0.1.1,0.1.1
CVE-2014-7205,bassmaster,CRITICAL,Arbitrary JavaScript Execution in bassmaster,"A vulnerability exists in bassmaster <= 1.5.1 that allows for an attacker to provide arbitrary JavaScript that is then executed server side via eval.


## Recommendation

Update to bassmaster version 1.5.2 or greater.",2017-10-24T18:33:36Z,< 1.5.2,1.5.2
CVE-2014-7193,crumb,MODERATE,CORS Token Disclosure in crumb,"When CORS is enabled on a hapi route handler, it is possible to set a crumb token for a different domain. An attacker would need to have an application consumer visit a site they control, request a route supporting CORS, and then retrieve the token. With this token, they could possibly make requests to non CORS routes as this user.

A configuration and scenario where this would occur is unlikely, as most configurations will set CORS globally (where crumb is not used), or not at all.


## Recommendation

Update to version 3.0.0 or greater.",2017-10-24T18:33:36Z,< 3.0.0,3.0.0
CVE-2014-7192,syntax-error,LOW,Potential for Script Injection in syntax-error,"Versions of `syntax-error` prior to 1.1.1 are affected by a cross-site scripting vulnerability which may allow a malicious file to execute code when browserified. 




## Recommendation

Update to version 1.1.1 or later.",2017-10-24T18:33:36Z,< 1.1.1,1.1.1
CVE-2014-7191,qs,HIGH,Denial-of-Service Memory Exhaustion in qs,"Versions prior to 1.0 of `qs` are affected by a denial of service condition. This condition is triggered by parsing a crafted string that deserializes into very large sparse arrays, resulting in the process running out of memory and eventually crashing.


## Recommendation

Update to version 1.0.0 or later.",2017-10-24T18:33:36Z,< 1.0.0,1.0.0
CVE-2014-6394,send,LOW,Directory Traversal in send,"Versions 0.8.3 and earlier of `send` are affected by a directory traversal vulnerability. When relying on the root option to restrict file access it may be possible for an application consumer to escape out of the restricted directory and access files in a similarly named directory. 

For example, `static(_dirname + '/public')` would allow access to `_dirname + '/public-restricted'`.


## Recommendation

Update to version 0.8.4 or later.",2017-10-24T18:33:36Z,< 0.8.4,0.8.4
CVE-2014-3742,hapi,HIGH,File Descriptor Leak Can Cause DoS Vulnerability in hapi,"Versions 2.0.x and 2.1.x of hapi are vulnerable to a denial of service attack via a file descriptor leak. 

When triggered repeatedly, this leak will cause the server to run out of file descriptors and the node process to die. The effort required to take down a server depends on the process file descriptor limit. No other side effects or exploits have been identified.



## Recommendation

- Please upgrade to version 2.2.x or above as soon as possible.",2017-10-24T18:33:36Z,">= 2.0.0, < 2.2.0",2.2.0
CVE-2013-7454,validator,CRITICAL,Multiple XSS Filter Bypasses in validator,"Versions of `validator` prior to 1.1.0 are affected by several cross-site scripting vulnerabilities due to bypasses discovered in the blacklist-based filter.


## Proof of Concept
Various inputs that could bypass the filter were discovered:

Improper parsing of nested tags:

```
<s <onmouseover=""alert(1)""> <;s onmouseover=""alert(1)"">This is a test</s>
```

Incomplete filtering of javascript: URIs:

```
<a href=""javascriptJ a V a S c R iPt::alert(1)"" ""<s>"">test</a>
```

UI Redressing:

```
<div style=""z-index: 9999999; background-color: green; width: 100%; height: 100%"">
<h1>You have won</h1>Please click the link and enter your login details:
<a href=""http://example.com/"">http://good.com</a>
</div>
```

Bypass via Nested Forbidden Strings:

```
<scrRedirecRedirect 302t 302ipt type=""text/javascript"">prompt(1);</scrRedirecRedirect 302t 302ipt>
```

Additional bypasses were discovered by Krzysztof Kotowicz in 2012 when auditing CodeIgniter's XSS filtering function, which this code was based off of.


## Recommendation

If you are a developer currently using the xss filter function from the validator package, you should consider replacing it with the escape filter function from the same package. This function replaces all instances of angle brackets (<, >), ampersands, and quotation marks, so no HTML tags will be processed.",2017-10-24T18:33:36Z,< 1.1.0,1.1.0
CVE-2013-7453,validator,MODERATE,Moderate severity vulnerability that affects validator,The validator module before 1.1.0 for Node.js allows remote attackers to bypass the cross-site scripting (XSS) filter via vectors related to UI redressing.,2017-10-24T18:33:36Z,< 1.1.0,1.1.0
CVE-2013-7452,validator,MODERATE,Moderate severity vulnerability that affects validator,The validator module before 1.1.0 for Node.js allows remote attackers to bypass the cross-site scripting (XSS) filter via a crafted javascript URI.,2017-10-24T18:33:36Z,< 1.1.0,1.1.0
CVE-2013-7451,validator,MODERATE,Moderate severity vulnerability that affects validator,The validator module before 1.1.0 for Node.js allows remote attackers to bypass the XSS filter via a nested tag.,2017-10-24T18:33:36Z,< 1.1.0,1.1.0
CVE-2013-4660,js-yaml,CRITICAL,Deserialization Code Execution in js-yaml,"Versions 2.0.4 and earlier of `js-yaml` are affected by a code execution vulnerability in the YAML deserializer.

## Proof of Concept
```
const yaml = require('js-yaml');

const x = `test: !!js/function >
function f() { 
console.log(1); 
}();`

yaml.load(x);
```


## Recommendation

Update js-yaml to version 2.0.5 or later, and ensure that all instances where the `.load()` method is called are updated to use `.safeLoad()` instead.
",2017-10-24T18:33:37Z,< 2.0.5,2.0.5
CVE-2012-6662,jquery-ui,MODERATE,Moderate severity vulnerability that affects jquery-ui,"Cross-site scripting (XSS) vulnerability in the default content option in jquery.ui.tooltip.js in the Tooltip widget in jQuery UI before 1.10.0 allows remote attackers to inject arbitrary web script or HTML via the title attribute, which is not properly handled in the autocomplete combo box demo.",2017-10-24T18:33:37Z,< 1.1.0,1.10.0
CVE-2010-5312,jquery-ui,MODERATE,Moderate severity vulnerability that affects jquery-ui,Cross-site scripting (XSS) vulnerability in jquery.ui.dialog.js in the Dialog widget in jQuery UI before 1.10.0 allows remote attackers to inject arbitrary web script or HTML via the title option.,2017-10-24T18:33:38Z,">= 1.7.0, < 1.10.0",1.10.0
CVE-2017-7474,keycloak-connect,HIGH,High severity vulnerability that affects keycloak-connect and keycloak-js,"It was found that the Keycloak Node.js adapter 2.5 - 3.0 did not handle invalid tokens correctly.  An attacker could use this flaw to bypass authentication and gain access to restricted information, or to possibly conduct further attacks.",2017-11-15T20:41:51Z,">= 2.5, < 3.1.0",3.1.0
CVE-2017-7474,keycloak-js,HIGH,High severity vulnerability that affects keycloak-connect and keycloak-js,"It was found that the Keycloak Node.js adapter 2.5 - 3.0 did not handle invalid tokens correctly.  An attacker could use this flaw to bypass authentication and gain access to restricted information, or to possibly conduct further attacks.",2017-11-15T20:41:51Z,">= 2.5, < 3.1.0",3.1.0
CVE-2017-15879,keystone,MODERATE,Moderate severity vulnerability that affects keystone,CSV Injection (aka Excel Macro Injection or Formula Injection) exists in admin/server/api/download.js and lib/list/getCSVData.js in KeystoneJS before 4.0.0-beta.7 via a value that is mishandled in a CSV export.,2017-11-16T01:46:50Z,< 4.0.0-beta7,4.0.0-beta7
CVE-2017-15881,keystone,MODERATE,Cross-Site Scripting in keystone,"Versions of `keystone` prior to 4.0.0 are vulnerable to Cross-Site Scripting (XSS). The package fails to properly encode rendered HTML on admin-created blog posts. This allows attackers to execute arbitrary JavaScript in the victim's browser. Exploiting this vulnerability requires having access to an admin account.


## Recommendation

Update to version 4.0.0 or later.",2017-11-16T01:47:02Z,< 4.0.0-beta7,4.0.0-beta7
CVE-2013-7377,codem-transcode,CRITICAL,Potential Command Injection in codem-transcode,"When the ffprobe functionality is enabled on the server, HTTP POST requests can be made to /probe. These requests are passed to the ffprobe binary on the server. Through this HTTP endpoint it is possible to send a malformed source file name to ffprobe that results in arbitrary command execution.

### Mitigating Factors:
The ffprobe functionality is not enabled by default. In addition, exploitation opportunities are limited in a standard configuration because the server binds to the local interface by default.


## Recommendation

An updated and patched version of the module (version 0.5.0) is available via npm. Users who have enabled the ffprobe functionality are especially encouraged to upgrade..",2017-11-28T22:20:17Z,< 0.5.0,0.5.0
CVE-2014-3741,printer,CRITICAL,Potential Command Injection in printer,"Versions 0.0.1 and earlier of `printer` are affected by a command injection vulnerability resulting from a failure to sanitize command arguments properly in the `printDirect()` function. 



## Recommendation

Update to version 0.0.2 or later.",2017-11-28T22:44:52Z,<= 0.0.1,0.0.2
CVE-2017-16570,keystone,HIGH,Cross-Site Request Forgery (CSRF) in keystone,"Versions of `keystone` prior to 4.0.0 are vulnerable to Cross-Site Request Forgery (CSRF). The package fails to validate the presence of the `X-CSRF-Token` header, which may allow attackers to carry actions on behalf of other users on all endpoints.


## Recommendation

Update to version 4.0.0 or later.",2017-11-30T23:14:47Z,< 4.0.0-beta.7,4.0.0-beta.7
CVE-2017-1000188,ejs,MODERATE,Moderate severity vulnerability that affects ejs,nodejs ejs version older than 2.5.5 is vulnerable to a Cross-site-scripting in the ejs.renderFile() resulting in code injection,2017-11-30T23:15:05Z,< 2.5.5,2.5.5
CVE-2017-1000189,ejs,HIGH,High severity vulnerability that affects ejs,nodejs ejs version older than 2.5.5 is vulnerable to a denial-of-service due to weak input validation in the ejs.renderFile(),2018-03-05T18:54:33Z,< 2.5.5,2.5.5
CVE-2017-1000228,ejs,HIGH,High severity vulnerability that affects ejs,nodejs ejs versions older than 2.5.3 is vulnerable to remote code execution due to weak input validation in ejs.renderFile() function,2017-11-30T23:15:19Z,< 2.5.3,2.5.5
CVE-2017-1001002,mathjs,CRITICAL,Arbitrary Code Execution in mathjs,"math.js before 3.17.0 had an arbitrary code execution in the JavaScript engine. Creating a typed function with JavaScript code in the name could result arbitrary execution.


## Recommendation

Update to version 3.17.0 or later.",2017-12-18T22:27:45Z,< 3.17.0,3.17.0
CVE-2017-1001003,mathjs,CRITICAL,Arbitrary Code Execution in mathjs,"math.js before 3.17.0 had an issue where private properties such as a constructor could be replaced by using unicode characters when creating an object.


## Recommendation

Upgrade to version 3.17.0 or later.",2017-12-18T22:27:53Z,< 3.17.0,3.17.0
CVE-2017-17068,auth0-js,HIGH,High severity vulnerability that affects auth0-js,A cross-origin vulnerability has been discovered in the Auth0 auth0.js library affecting versions &lt; 8.12. This vulnerability allows an attacker to acquire authenticated users' tokens and invoke services on a user's behalf if the target site or application uses a popup callback page with auth0.popup.callback().,2017-12-21T00:47:20Z,< 8.12.0,8.12.0
CVE-2016-10703,ecstatic,MODERATE,Denial of Service in ecstatic,"`ecstatic`, a simple static file server middleware, is vulnerable to denial of service. If a payload with a large number of null bytes (`%00`) is provided by an attacker it can crash ecstatic by running it out of memory.


[Results from the original advisory](https://www.checkmarx.com/advisories/denial-of-service-dos-vulnerability-in-ecstatic-npm-package/)

```
A payload of 22kB caused a lag of 1 second,
A payload of 35kB caused a lag of 3 seconds,
A payload of 86kB caused the server to crash
```


## Recommendation

Update to version 2.0.0 or later.",2017-12-28T22:52:47Z,< 2.0.0,2.0.0
CVE-2017-10910,mqtt,MODERATE,Denial of Service in mqtt,"Affected versions of `mqtt` do not properly handle PUBLISH packets returning from the server, leading to a Denial of Service condition.

The vulnerability is completely mitigated if the only connected servers are trusted, guaranteed not to be under the control of a malicious actor.

## Proof of Concept

The following is a demonstration of how to generate the malicious packet sequence, but does not include information on handling the initial network connections and MQTT overhead.
```
var mqttp = require('mqtt-packet');
var packets = [];
for(var i=0; i<=1000;i++){
    packets.push(
        mqttp.generate({
            cmd:'publish',
            topic:Buffer.from('hello'),
            payload:Buffer.from('world'),
            retain: false,
            dup: false, 
            messageId: ++i, 
            qos: 1
        })
    )
}

```


## Recommendation

Update to version 2.15.0 or later.",2017-12-28T22:51:58Z,">= 2.0.0, < 2.15.0",2.15.0
CVE-2017-16897,passport-wsfed-saml2,HIGH,High severity vulnerability that affects passport-wsfed-saml2,"A vulnerability has been discovered in the Auth0 passport-wsfed-saml2 library affecting versions < 3.0.5. This vulnerability allows an attacker to impersonate another user and potentially elevate their privileges if the SAML identity provider does not sign the full SAML response (e.g., only signs the assertion within the response).",2017-12-28T22:51:45Z,< 3.0.5,3.0.5
CVE-2017-1000452,samlify,HIGH,Authentication Bypass in samlify,"Versions of `samlify` prior to 2.4.0 are vulnerable to Authentication Bypass. The package fails to prevent XML Signature Wrapping, allowing tokens to be reused with different usernames. A remote attacker can modify SAML content for a SAML service provider without invalidating the cryptographic signature, which may allow attackers to bypass primary authentication for the affected SAML service provider.


## Recommendation

Upgrade to version 2.4.0 or later",2018-01-04T21:03:33Z,< 2.3.0,2.3.0
CVE-2017-17461,marked,MODERATE,Moderate severity vulnerability that affects marked,A Regular expression Denial of Service (ReDoS) vulnerability in the file marked.js of the marked npm package (tested on version 0.3.7) allows a remote attacker to overload and crash a server by passing a maliciously crafted string.,2018-01-04T21:04:09Z,< 0.3.9,0.3.9
CVE-2017-1000427,marked,MODERATE,Moderate severity vulnerability that affects marked,marked version 0.3.6 and earlier is vulnerable to an XSS attack in the data: URI parser.,2018-01-04T21:04:19Z,< 0.3.7,0.3.7
CVE-2015-9251,jquery,HIGH,Cross-Site Scripting (XSS) in jquery,"Affected versions of `jquery` interpret `text/javascript` responses from cross-origin ajax requests, and automatically execute the contents in `jQuery.globalEval`, even when the ajax request doesn't contain the `dataType` option.


## Recommendation

Update to version 3.0.0 or later.",2018-01-22T13:32:06Z,< 3.0.0,3.0.0
CVE-2017-18077,brace-expansion,MODERATE,ReDoS in brace-expansion,"Affected versions of `brace-expansion` are vulnerable to a regular expression denial of service condition.

## Proof of Concept

```
var expand = require('brace-expansion');
expand('{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\n}');
```


## Recommendation

Update to version 1.1.7 or later.",2018-01-29T15:50:46Z,< 1.1.7,1.1.7
CVE-2017-16877,next,HIGH,High severity vulnerability that affects next,"ZEIT Next.js before 2.4.1 has directory traversal under the /_next and /static request namespace, allowing attackers to obtain sensitive information.",2017-12-05T02:04:14Z,">= 1.0.0, < 2.4.1",2.4.1
CVE-2018-6184,next,HIGH,High severity vulnerability that affects next,ZEIT Next.js 4 before 4.2.3 has Directory Traversal under the /_next request namespace.,2018-01-24T19:38:52Z,">= 1.0.0, < 4.2.3",4.2.3
CVE-2016-10707,jquery,MODERATE,Denial of Service in jquery,"Affected versions of `jquery` use a lowercasing logic on attribute names. When given a boolean attribute with a name that contains uppercase characters, `jquery` enters into an infinite recursion loop, exceeding the call stack limit, and resulting in a denial of service condition.


## Recommendation

Update to version 3.0.0 or later.",2018-01-22T13:32:42Z,"> 2.1.0, < 3.0.0",3.0.0
CVE-2018-7560,aws-lambda-multipart-parser,MODERATE,Moderate severity vulnerability that affects aws-lambda-multipart-parser,index.js in the aws-lambda-multipart-parser NPM package before 0.1.2 has a Regular Expression Denial of Service (ReDoS) issue via a crafted multipart/form-data boundary string.,2018-03-05T19:16:56Z,< 0.1.2,0.1.2
CVE-2017-18214,moment,LOW,Regular Expression Denial of Service in moment,"Affected versions of `moment` are vulnerable to a low severity regular expression denial of service when parsing dates as strings.


## Recommendation

Update to version 2.19.3 or later.",2018-03-05T18:35:09Z,< 2.19.3,2.19.3
CVE-2018-1000023,insight-api,LOW,Low severity vulnerability that affects insight-api,Bitpay/insight-api Insight-api version 5.0.0 and earlier contains a CWE-20: input validation vulnerability in transaction broadcast endpoint that can result in Full Path Disclosure. This attack appear to be exploitable via Web request.,2018-03-05T19:33:54Z,<= 5.0.0,
CVE-2018-7307,auth0-js,MODERATE,Moderate severity vulnerability that affects auth0-js,"The Auth0.js library has a vulnerability affecting versions below 9.3 that allows an attacker to bypass the CSRF check from the state parameter if it's missing from the authorization response, leaving the client vulnerable to CSRF attacks.",2018-03-07T22:22:24Z,< 9.3.0,9.3.0
CVE-2018-1000118,electron,MODERATE,Moderate severity vulnerability that affects electron,"Github Electron version Electron 1.8.2-beta.4 and earlier contains a Command Injection vulnerability in Protocol Handler that can result in command execute. This attack appear to be exploitable via the victim opening an electron protocol handler in their browser. This vulnerability appears to have been fixed in Electron 1.8.2-beta.5. This issue is due to an incomplete fix for CVE-2018-1000006, specifically the black list used was not case insensitive allowing an attacker to potentially bypass it.",2018-03-26T16:41:20Z,< 1.8.2-beta5,1.8.2-beta5
CVE-2018-7651,ssri,MODERATE,Regular Expression Denial of Service in ssri,"Version of `ssri` prior to 5.2.2 are vulnerable to regular expression denial of service (ReDoS) when using strict mode.


## Recommendation

Update to version 5.2.2 or later.",2018-03-07T22:22:20Z,< 5.2.2,5.2.2
CVE-2018-1000086,pym.js,HIGH,High severity vulnerability that affects pym.js,"NPR Visuals Team Pym.js version versions 0.4.2 up to 1.3.1 contains a Cross Site Request Forgery (CSRF) vulnerability in Pym.js _onNavigateToMessage function. 

https://github.com/nprapps/pym.js/blob/master/src/pym.js#L573 that can result in Arbitrary javascript code execution. This attack appear to be exploitable via Attacker gains full javascript access to pages with Pym.js embeds when user visits an attacker crafted page.. This vulnerability appears to have been fixed in versions 1.3.2 and later.",2018-03-13T20:38:51Z,">= 0.4.2, <= 1.3.1",1.3.2
CVE-2018-1000096,tiny-json-http,HIGH,High severity vulnerability that affects tiny-json-http,brianleroux tiny-json-http version all versions since commit 9b8e74a232bba4701844e07bcba794173b0238a8 (Oct 29 2016) contains a Missing SSL certificate validation vulnerability in The libraries core functionality is affected. that can result in Exposes the user to man-in-the-middle attacks.,2018-03-13T20:42:00Z,">= 1.0.1, < 7.0.0",7.0.0
